kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,128,4,16,16,0.06895828500000789,0.007800396531820297,,
2,128,4,32,32,0.06833159899997554,0.007832925766706467,,
2,128,4,64,64,0.06854526899951452,0.007882959209382534,,
2,128,4,128,128,0.06789826499971241,0.007876766845583916,,
2,128,8,4,4,0.23984715200003848,0.007959340699017048,,
2,128,8,8,8,0.23994106099962664,0.007897487841546535,,
2,128,8,16,16,0.23842792400046164,0.007854396477341652,,
2,128,8,32,32,0.23693383099998755,0.007872777059674263,,
2,128,8,64,64,0.2378739420000784,0.007873937487602234,,
2,128,8,128,128,0.2386676850001095,0.007873421534895897,,
2,128,16,4,4,0.8903616950001378,0.007866891101002693,,
2,128,16,8,8,0.888679609999599,0.007908621802926064,,
2,128,16,16,16,0.8897787879996031,0.007860093377530575,,
2,128,16,32,32,0.893057821000184,0.00787943135946989,,
2,128,16,64,64,0.8957617670002946,0.007876751944422722,,
2,128,16,128,128,0.9099581299997226,0.007874881848692894,,
2,128,32,4,4,3.4599967829999514,0.00794169306755066,,
2,128,32,8,8,3.4496817180006474,0.007878001779317856,,
2,128,32,16,16,3.503862480999487,0.007867283187806606,,
2,128,32,32,32,3.4404968999997436,0.00787535309791565,,
2,128,32,64,64,3.487934898000276,0.007873224094510078,,
2,128,32,128,128,3.4986532689999876,0.007873626425862312,,
2,128,64,4,4,13.602345825000157,0.007872954942286015,,
2,128,64,8,8,13.65868273399974,0.007870804518461227,,
2,128,64,16,16,13.691570842999681,0.007875809445977211,,
2,128,64,32,32,13.851764256000024,0.00787538941949606,,
2,128,64,64,64,13.821588363999581,0.007874245755374432,,
2,128,64,128,128,13.930356251000376,0.00787445530295372,,
2,128,128,4,4,54.32653388400013,0.00786934420466423,,
2,128,128,8,8,54.671426451000116,0.007870848290622234,,
2,128,128,16,16,54.67683846399996,0.007874690927565098,,
2,128,128,32,32,54.86686129499958,0.007873928174376488,,
2,128,128,64,64,54.50765699400017,0.007874132134020329,,
2,128,128,128,128,54.70210109399977,0.007874039001762867,,
